-77,0223;82,845
-76,8497;82,9216
-76,6771;82,9958
-76,5045;83,0676
-76,3319;83,1369
-76,1593;83,2037
-75,9867;83,2681
-75,8141;83,3301
-75,6415;83,3896
-75,4689;83,4466
-75,2963;83,5012
-75,1237;83,5534
-74,9511;83,6031
-74,7785;83,6504
-74,6059;83,6952
-74,4333;83,7376
-74,2607;83,7775
-74,0881;83,815
-73,9155;83,85
-73,7429;83,8826
-73,5703;83,9128
-73,3977;83,9404
-73,2251;83,9657
-73,0525;83,9885
-72,8799;84,0088
-72,7073;84,0267
-72,5347;84,0422
-72,3621;84,0552
-72,1895;84,0658
-72,0169;84,0739
-71,8443;84,0796
-71,6717;84,0828
-71,4991;84,0835
-71,3265;84,0819
-71,1539;84,0778
-70,9813;84,0712
-70,8087;84,0622
-70,6361;84,0507
-70,4635;84,0368
-70,2909;84,0204
-70,1183;84,0016
-69,9457;83,9804
-69,7731;83,9567
-69,6005;83,9305
-69,4279;83,9019
-69,2553;83,8709
-69,0827;83,8374
-68,9101;83,8015
-68,7375;83,7631
-68,5649;83,7223
-68,3923;83,679
-68,2197;83,6333
-68,0471;83,5851
-67,8745;83,5345
-67,7019;83,4814
-67,5293;83,4259
-67,3567;83,3679
-67,1841;83,3075
-67,0115;83,2447
-66,839;83,1794
-66,6664;83,1116
-66,4938;83,0414
-66,3212;82,9688
-66,1486;82,8937
-65,976;82,8162
-65,8034;82,7362
-65,6308;82,6537
-65,4582;82,5689
-65,2856;82,4815
-65,113;82,3918
-64,9404;82,2995
-64,7678;82,2049
-64,5952;82,1078
-64,4226;82,0082
-64,25;81,9062
-64,0774;81,8017
-63,9048;81,6948
-63,7322;81,5855
-63,5596;81,4737
-63,387;81,3594
-63,2144;81,2427
-63,0418;81,1236
-62,8692;81,002
-62,6966;80,878
-62,524;80,7515
-62,3514;80,6226
-62,1788;80,4912
-62,0062;80,3574
-61,8336;80,2211
-61,661;80,0824
-61,4884;79,9412
-61,3158;79,7976
-61,1432;79,6515
-60,9706;79,503
-60,798;79,3521
-60,6254;79,1987
-60,4528;79,0428
-60,2802;78,8845
-60,1076;78,7238
-59,935;78,5606
-59,7624;78,3949
